X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,ibr_date,oid
-83.20320526,42.43216981,3554355,2010070084,Cambridge Ave & Forrer St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/09/30 01:00:00+00,0.875,2,21,2020,804,8,2.61635E+14,Greenfield,2,48235,-83.20320526,42.43216981,2021/01/14 08:04:51+00,528333
-83.132709,42.30625195,3554392,2010070125,Mandale St & Oakdale St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/07 16:20:00+00,0.513888889,3,12,2020,408,4,2.61635E+14,Springwells,6,48209,-83.132709,42.30625195,2021/02/08 09:27:32+00,528336
-83.20620221,42.42668663,3554417,2010070154,Margareta St & Mansfield St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/06 16:00:00+00,0.5,2,12,2020,808,8,2.61635E+14,College Park,2,48235,-83.20620221,42.42668663,2020/10/14 09:55:20+00,528338
-83.0129582,42.43060662,3554436,2010070178,Blackmoor St & Linnhurst St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/07 11:00:00+00,0.291666667,3,7,2020,904,9,2.61635E+14,Mount Olivet,3,48234,-83.0129582,42.43060662,2020/10/08 15:56:58+00,528341
-83.26976297,42.38105687,3554517,2010070262,Riverdale Ave & Glendale St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/06 02:00:00+00,0.916666667,1,22,2020,603,6,2.61635E+14,Castle Rouge,1,48223,-83.26976297,42.38105687,2020/10/14 09:55:20+00,528349
-83.02214141,42.43565078,3554670,2010080010,Terrell St & Suzanne St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/07 06:00:00+00,0.083333333,3,2,2020,1105,11,2.61635E+14,Nortown,3,48234,-83.02214141,42.43565078,2021/02/11 09:49:38+00,528365
-82.98603904,42.36693785,3554673,2010080013,Cadillac Blvd & E Vernor Hwy,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/07 21:00:00+00,0.708333333,3,17,2020,508,5,2.61635E+14,East Village,5,48214,-82.98603904,42.36693785,2020/10/14 09:55:20+00,528366
-82.94640029,42.44369342,3554676,2010080015,Rossini Dr & Rossini St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/04 04:00:00+00,0,7,0,2020,903,9,2.61635E+14,Regent Park,3,48205,-82.94640029,42.44369341,2020/10/14 09:55:20+00,528367
-83.19025749,42.43609199,3554762,2010080085,Hubbell St & Saint Martins Ave,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/08 12:00:00+00,0.333333333,4,8,2020,1201,12,2.61635E+14,Schaefer 7/8 Lodge,2,48235,-83.19025749,42.43609199,2020/10/14 09:55:20+00,528386
-83.19140821,42.35352804,3554871,2010080206,Robson St & Belton St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/08 06:00:00+00,0.083333333,4,2,2020,207,2,2.61635E+14,Fiskhorn,7,48228,-83.19140821,42.35352804,2020/10/16 12:39:00+00,528392
-82.94339626,42.42571686,3554975,2010080314,Casino St & Nottingham Rd,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/07 05:30:00+00,0.0625,3,1,2020,907,9,2.61635E+14,Moross-Morang,4,48224,-82.94339626,42.42571686,2020/10/14 09:55:20+00,528404
-83.2038523,42.37995056,3554978,2010080302,Fullerton St & Mansfield St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/09 02:37:00+00,0.942361111,4,22,2020,605,6,2.61635E+14,Schoolcraft Southfield,1,48227,-83.2038523,42.37995056,2020/10/14 09:55:20+00,528405
-83.21799015,42.33249886,3555051,2010080375,Rosemont Ave & Kirkwood St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/09 06:54:00+00,0.120833333,5,2,2020,612,6,2.61635E+14,Warrendale,7,48228,-83.21799015,42.33249886,2020/10/14 09:55:20+00,528414
-83.26072122,42.36920384,3555151,2010090095,Elmira St & W Outer Dr,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/09 07:40:00+00,0.152777778,5,3,2020,606,6,2.61635E+14,West Outer Drive,7,48239,-83.26072122,42.36920384,2020/10/14 09:55:20+00,528430
-82.99627933,42.3655249,3555260,2010090207,Fischer Ave & Charlevoix St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/09/21 17:00:00+00,0.541666667,1,13,2020,708,7,2.61635E+14,East Village,5,48214,-82.99627933,42.3655249,2020/10/14 09:55:20+00,528448
-83.14450734,42.36647953,3555407,2010100004,American St & W Chicago St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/10 03:00:00+00,0.958333333,5,23,2020,209,2,2.61635E+14,Midwest,6,48204,-83.14450734,42.36647953,2020/10/14 09:55:20+00,528465
-83.02837681,42.33408429,3555439,2010090338,Franklin St & Orleans St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/10 06:20:00+00,0.097222222,6,2,2020,709,7,2.61635E+14,Rivertown,5,48207,-83.02837681,42.33408429,2020/10/14 09:55:20+00,528475
-83.02837681,42.33408429,3555439,2010090338,Franklin St & Orleans St,MOTOR VEHICLE THEFT,OBSTRUCTING THE POLICE,4801,48000,OBSTRUCTING POLICE,2020/10/10 06:20:00+00,0.097222222,6,2,2020,709,7,2.61635E+14,Rivertown,5,48207,-83.02837681,42.33408429,2020/10/14 09:55:20+00,528476
-83.2170458,42.33974527,3555542,2010100135,Whitlock St & Ashton Ave,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/10 12:30:00+00,0.354166667,6,8,2020,612,6,2.61635E+14,Warrendale,7,48228,-83.2170458,42.33974527,2020/10/14 09:55:20+00,528493
-83.22172942,42.40103414,3555642,2010100234,Fenkell St & Penrod St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/10 04:00:00+00,0,6,0,2020,811,8,2.61635E+14,Rosedale Park,1,48223,-83.22172942,42.40103414,2020/10/14 09:55:20+00,528513
-83.16756613,42.40770026,3555897,2010110122,Pilgrim St & Monte Vista St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/11 09:30:00+00,0.229166667,7,5,2020,1210,12,2.61635E+14,Bethune Community,2,48238,-83.16756613,42.40770026,2020/10/14 10:26:46+00,528549
-82.9724239,42.44991593,3556523,2010130013,8 Mile Rd & Dexter Blvd,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/11 00:00:00+00,0.833333333,6,20,2020,902,9,2.61635E+14,Mohican Regent,3,48205,-82.9724239,42.44991593,2020/10/14 10:26:46+00,528584
-83.10548174,42.31935068,3556211,2010120064,Romeyn St & Campbell St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/12 07:00:00+00,0.125,1,3,2020,409,4,2.61635E+14,Central Southwest,6,48209,-83.10548173,42.31935068,2020/10/19 17:06:26+00,528597
